,Unnamed: 0,Formatted Date,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Summary
0,0,2015-02-22 00:00:00.000 +0100,rain,3.7055555555555566,-0.0944444444444453,0.63,16.711800000000004,131.0,9.982,0.0,1009.37,Overcast
1,1,2015-02-22 01:00:00.000 +0100,rain,4.13888888888889,0.5777777777777773,0.64,15.810200000000002,130.0,9.982,0.0,1009.33,Overcast
2,2,2015-02-22 02:00:00.000 +0100,rain,4.261111111111112,0.5722222222222229,0.65,16.888900000000003,130.0,9.982,0.0,1008.67,Overcast
3,3,2015-02-22 03:00:00.000 +0100,rain,2.755555555555556,-0.8055555555555551,0.73,13.8782,130.0,9.982,0.0,1008.25,Mostly Cloudy
4,4,2015-02-22 04:00:00.000 +0100,rain,3.3722222222222222,-0.7222222222222227,0.74,18.1608,129.0,9.982,0.0,1007.68,Mostly Cloudy
5,5,2015-02-22 05:00:00.000 +0100,rain,3.7944444444444434,0.5111111111111121,0.82,13.6528,139.0,9.982,0.0,1007.87,Mostly Cloudy
6,6,2015-02-22 06:00:00.000 +0100,rain,4.8388888888888895,1.5388888888888903,0.76,15.166200000000002,139.0,9.982,0.0,1007.59,Overcast
7,7,2015-02-22 07:00:00.000 +0100,rain,5.827777777777779,2.3499999999999983,0.78,18.193,128.0,8.3398,0.0,1007.43,Mostly Cloudy
8,8,2015-02-22 08:00:00.000 +0100,rain,5.95,2.705555555555554,0.76,16.6313,138.0,8.05,0.0,1007.51,Mostly Cloudy
9,9,2015-02-22 09:00:00.000 +0100,rain,7.061111111111112,3.5500000000000003,0.79,21.2198,129.0,8.05,0.0,1007.58,Mostly Cloudy
10,10,2015-02-22 10:00:00.000 +0100,rain,9.772222222222224,6.71111111111111,0.71,24.4076,138.0,11.9784,0.0,1007.1,Overcast
11,11,2015-02-22 11:00:00.000 +0100,rain,10.97222222222222,10.97222222222222,0.62,24.761800000000004,149.0,12.2199,0.0,1007.47,Overcast
12,12,2015-02-22 12:00:00.000 +0100,rain,12.17222222222222,12.17222222222222,0.53,30.670500000000004,149.0,12.2199,0.0,1006.98,Mostly Cloudy
13,13,2015-02-22 13:00:00.000 +0100,rain,12.13888888888889,12.13888888888889,0.58,28.8673,160.0,14.731500000000002,0.0,1006.52,Mostly Cloudy
14,14,2015-02-22 14:00:00.000 +0100,rain,12.17777777777778,12.17777777777778,0.61,26.2591,149.0,13.1376,0.0,1005.89,Mostly Cloudy
15,15,2015-02-22 15:00:00.000 +0100,rain,12.111111111111107,12.111111111111107,0.58,20.1572,148.0,12.2199,0.0,1005.3,Mostly Cloudy
16,16,2015-02-22 16:00:00.000 +0100,rain,10.883333333333336,10.883333333333336,0.65,19.674200000000003,142.0,8.9838,0.0,1006.03,Overcast
17,17,2015-02-22 17:00:00.000 +0100,rain,8.894444444444442,6.005555555555556,0.77,19.8835,140.0,7.486500000000001,0.0,1006.67,Overcast
18,18,2015-02-22 18:00:00.000 +0100,rain,7.805555555555554,5.627777777777779,0.83,12.236,120.0,7.4543,0.0,1006.77,Overcast
19,19,2015-02-22 19:00:00.000 +0100,rain,7.733333333333334,4.933333333333335,0.84,16.5347,131.0,6.3112,0.0,1007.19,Overcast
20,20,2015-02-22 20:00:00.000 +0100,rain,7.222222222222222,4.283333333333334,0.86,16.6474,130.0,6.1985,0.0,1007.2,Overcast
21,21,2015-02-22 21:00:00.000 +0100,rain,6.694444444444443,4.027777777777778,0.93,13.8299,139.0,8.05,0.0,1007.5,Overcast
22,22,2015-02-22 22:00:00.000 +0100,rain,6.700000000000001,3.888888888888889,0.91,14.7959,132.0,7.679699999999999,0.0,1007.61,Overcast
23,23,2015-02-22 23:00:00.000 +0100,rain,6.666666666666667,3.5388888888888874,0.9,17.0982,138.0,9.7083,0.0,1007.91,Overcast
24,24,2015-02-23 00:00:00.000 +0100,rain,6.644444444444445,3.4999999999999982,0.9,17.1948,139.0,7.824600000000001,0.0,1007.9,Overcast
25,25,2015-02-23 01:00:00.000 +0100,rain,6.65,4.500000000000001,0.9,10.7387,111.0,7.3255,0.0,1007.78,Overcast
